Generation #0
Generation #26
Puntaje: 22 [44, 4, 20, 15, 1, 7]
Puntaje: 19 [44, 3, 9, 15, 1, 7]
Puntaje: 17 [3, 2, 5, 17, 5, 7]
Puntaje: 16 [44, 3, 9, 15, 1, 7]
Puntaje: 12 [44, 3, 9, 15, 1, 7]
Puntaje: 12 [44, 3, 9, 15, 1, 7]
Puntaje: 9 [3, 2, 20, 15, 5, 7]
Puntaje: 9 [44, 3, 9, 15, 1, 7]
Puntaje: 9 [44, 3, 9, 15, 1, 7]
Puntaje: 8 [3, 2, 5, 17, 5, 7]
Puntaje: 7 [44, 2, 5, 17, 4, 7]
Puntaje: 6 [44, 2, 5, 15, 1, 3]
Puntaje: 6 [44, 3, 9, 15, 1, 7]
Puntaje: 6 [73, 2, 9, 17, 5, 7]
Puntaje: 5 [73, 2, 9, 17, 5, 7]
Puntaje: 0 [3, 2, 9, 0, 8, 7]
Generation #27
Puntaje: 20 [44, 2, 20, 15, 1, 7]
Puntaje: 19 [3, 2, 5, 17, 5, 7]
Puntaje: 17 [44, 4, 9, 15, 1, 7]
Puntaje: 17 [44, 3, 9, 15, 1, 7]
Puntaje: 10 [44, 4, 20, 15, 1, 7]
Puntaje: 10 [44, 4, 9, 15, 1, 7]
Puntaje: 10 [44, 3, 9, 15, 1, 7]
Puntaje: 10 [3, 2, 20, 15, 5, 7]
Puntaje: 9 [3, 2, 5, 17, 5, 7]
Puntaje: 8 [44, 3, 9, 15, 1, 7]
Puntaje: 8 [15, 3, 9, 15, 1, 7]
Puntaje: 7 [44, 3, 9, 15, 1, 7]
Puntaje: 7 [44, 3, 9, 15, 1, 7]
Puntaje: 4 [18, 3, 0, 15, 1, 7]
Puntaje: 3 [44, 3, 4, 15, 1, 7]
Puntaje: 3 [3, 3, 5, 15, 1, 7]
Generation #28
Puntaje: 22 [44, 2, 20, 15, 1, 7]
Puntaje: 19 [44, 4, 20, 15, 1, 7]
Puntaje: 18 [44, 4, 9, 15, 1, 7]
Puntaje: 16 [3, 2, 5, 17, 5, 7]
Puntaje: 12 [3, 2, 20, 15, 1, 7]
Puntaje: 12 [44, 2, 20, 15, 1, 7]
Puntaje: 11 [44, 3, 9, 15, 1, 7]
Puntaje: 10 [3, 2, 5, 17, 5, 7]
Puntaje: 9 [44, 3, 9, 15, 1, 7]
Puntaje: 9 [44, 4, 9, 15, 1, 7]
Puntaje: 9 [44, 4, 20, 15, 1, 9]
Puntaje: 6 [44, 4, 9, 15, 1, 7]
Puntaje: 4 [48, 4, 0, 15, 1, 7]
Puntaje: 4 [44, 3, 9, 15, 8, 7]
Puntaje: 3 [44, 4, 9, 1, 1, 7]
Puntaje: 0 [44, 2, 5, 5, 1, 7]
Generation #29
Puntaje: 24 [50, 4, 13, 15, 5, 7]
Puntaje: 18 [44, 2, 20, 15, 1, 7]
Puntaje: 16 [3, 2, 20, 15, 5, 7]
Puntaje: 16 [44, 4, 20, 15, 1, 7]
Puntaje: 11 [44, 2, 20, 15, 6, 7]
Puntaje: 9 [44, 2, 9, 15, 1, 7]
Puntaje: 9 [3, 4, 20, 15, 1, 7]
Puntaje: 9 [3, 2, 20, 15, 1, 7]
Puntaje: 9 [29, 4, 20, 15, 1, 7]
Puntaje: 9 [44, 4, 9, 15, 1, 7]
Puntaje: 9 [44, 2, 20, 15, 5, 7]
Puntaje: 7 [44, 2, 20, 15, 1, 7]
Puntaje: 7 [44, 4, 20, 15, 1, 7]
Puntaje: 7 [99, 2, 20, 15, 1, 7]
Puntaje: 4 [44, 2, 8, 15, 1, 7]
Puntaje: 4 [3, 2, 5, 17, 5, 7]
Generation #30
Puntaje: 26 [44, 4, 13, 15, 5, 7]
Puntaje: 18 [50, 4, 13, 15, 5, 7]
Puntaje: 17 [40, 2, 20, 15, 1, 7]
Puntaje: 14 [81, 3, 20, 15, 6, 7]
Puntaje: 12 [44, 4, 20, 15, 1, 7]
Puntaje: 12 [3, 2, 20, 15, 5, 7]
Puntaje: 9 [44, 4, 20, 15, 1, 7]
Puntaje: 9 [3, 2, 20, 15, 1, 7]
Puntaje: 9 [3, 2, 20, 15, 1, 7]
Puntaje: 8 [44, 4, 9, 15, 7, 7]
Puntaje: 8 [44, 4, 9, 15, 6, 7]
Puntaje: 7 [44, 2, 20, 15, 1, 7]
